sich ein Durchschnitt von 17 Arztbesuchen pro Person ergeben	135	A22	redewendung
etwas in Anspruch nehmen	135	A22	redewendung
von langwierigen Leiden betroffen sein	135	A22	redewendung
im internationalen Vergleich	135	A22	redewendung
auf dem Spitzenplatz liegen	135	A22	redewendung
damit rechnen, ein bestimmtes Alter zu erreichen	135	A23	redewendung
zur Welt kommen	135	A23	redewendung
ein eindeutiger Zusammenhang zwischen Lebenserwartung und Einkommen	135	A23	redewendung
einen ungesunden Lebenswandel führen	135	A23	redewendung
unter Geldnot leiden	135	A23	redewendung
sich in die Gesellschaft einbringen	136	A25	redewendung
an Status gewinnen	137	B1	redewendung
jemandem wird eine Ehre zuteil	137	B1	redewendung
auf einen Missstand hinweisen	137	B1	redewendung
sich zu einem mutigen Schritt entscheiden	137	B1	redewendung
neue Verhaltensregeln einführen	137	B1	redewendung
ein Ungleichgewicht feststellen	137	B1	redewendung
zu einem ähnlichen Ergebnis kommen	137	B1	redewendung
bis auf den Namen identisch sein	137	B1	redewendung
sich nicht durcheinanderbringen lassen	138	B2	redewendung
Zweifel an etwas anmelden	138	B2	redewendung
in Wirklichkeit verhält es sich anders	138	B2	redewendung
eine Argumentation nicht ganz nachvollziehen können	138	B2	redewendung
etwas liegt auf der Hand	138	B2	redewendung
das Wort ergreifen	138	B2	redewendung
jemanden kurz unterbrechen	138	B2	redewendung
für etwas sprechen	138	B2	redewendung
gegen etwas sprechen	138	B2	redewendung
nicht zu übersehen sein	138	B2	redewendung
ein Beispiel anführen	138	B2	redewendung
auf einer negativen Erwartungshaltung basieren	140	C1	redewendung
jemanden über Risiken aufklären	140	C1	redewendung
Nebenwirkungen treten auf	140	C1	redewendung
mit Nebenwirkungen rechnen	140	C1	redewendung
im Verdacht stehen, etwas zu verursachen	141	C1	redewendung
ein Schmerzprotokoll führen	141	C1	redewendung
Geld in die Stadtkasse spülen	141	C3	redewendung
jemanden auf dem Laufenden halten	141	C3	redewendung
sofort Maßnahmen gegen etwas ergreifen	141	C4	redewendung
Beachtung finden	144	C8	redewendung
in Vergessenheit geraten	144	C8	redewendung
unter Beobachtung stehen	144	C8	redewendung
zur Diskussion stehen	144	C8	redewendung
Anerkennung finden	144	C8	redewendung
zur Anwendung kommen	144	C8	redewendung
an die Öffentlichkeit gelangen	144	C8	redewendung
einen erfolgreichen Abschluss finden	144	C8	redewendung
